world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,country-iso
129,"Royal Holloway, University of London",United Kingdom,35.1,92.7,33.2,91.2,34.4,55.7,"8,747",15.9,37%,57 : 43,2016,GBR
130,Lancaster University,United Kingdom,34.0,87.0,41.4,85.3,33.6,55.6,"11,512",14.9,33%,52 : 48,2016,GBR
131,University of Geneva,Switzerland,34.9,98.5,40.5,78.5,72.4,55.4,"15,668",15.0,39%,61 : 39,2016,CHE
131,University of York,United Kingdom,41.9,83.5,46.3,73.1,31.1,55.4,,,,,2016,GBR
133,University of Leeds,United Kingdom,43.7,77.4,39.0,79.2,36.7,55.3,"27,703",14.7,21%,58 : 42,2016,GBR
135,University of Oslo,Norway,43.3,68.2,44.7,75.5,38.3,55.1,"27,139",18.8,18%,,2016,NOR
136,Stockholm University,Sweden,34.1,48.5,51.2,82.5,31.1,54.8,"31,715",23.7,8%,62 : 38,2016,SWE
138,Karlsruhe Institute of Technology,Germany,37.7,56.7,47.5,73.8,99.5,54.5,"25,294",24.6,16%,26 : 74,2016,DEU
140,University of Sussex,United Kingdom,33.4,88.3,37.2,86.1,30.6,54.4,"12,001",17.4,35%,54 : 46,2016,GBR
142,University of Vienna,Austria,40.8,92.6,50.5,63.6,30.2,54.2,"34,651",20.5,25%,67 : 33,2016,AUT
143,University of Nottingham,United Kingdom,40.3,80.6,39.0,77.5,39.8,54.1,"30,144",15.0,27%,54 : 46,2016,GBR
144,University of Lausanne,Switzerland,30.9,89.2,45.6,76.2,56.0,53.9,"11,964",13.1,22%,,2016,CHE
146,Autonomous University of Barcelona,Spain,40.3,50.3,40.0,83.8,34.9,53.8,"30,538",12.3,10%,59 : 41,2016,ESP
149,University of East Anglia,United Kingdom,31.9,83.5,28.7,92.7,28.5,52.9,"14,992",14.7,28%,58 : 42,2016,GBR
149,University of Twente,Netherlands,34.1,80.1,45.6,68.8,91.2,52.9,"6,631",12.0,26%,37 : 63,2016,NLD
154,VU University Amsterdam,Netherlands,28.4,54.9,37.1,90.7,60.1,52.5,"23,280",16.3,6%,56 : 44,2016,NLD
155,KTH Royal Institute of Technology,Sweden,39.0,84.4,44.3,63.9,78.1,52.4,"12,062",14.6,21%,30 : 70,2016,SWE
156,University of Cologne,Germany,42.2,53.1,38.0,75.0,68.5,52.3,"43,280",43.4,11%,60 : 40,2016,DEU
157,University of Liverpool,United Kingdom,32.8,85.4,30.9,85.9,36.6,52.2,"18,815",13.6,30%,52 : 48,2016,GBR
158,TU Dresden,Germany,41.4,47.7,45.8,66.1,99.7,52.1,"35,487",37.4,12%,42 : 58,2016,DEU
160,Trinity College Dublin,Republic of Ireland,41.9,90.5,30.8,75.8,28.0,52.0,"15,521",18.0,25%,57 : 43,2016,IRL
164,Pompeu Fabra University,Spain,32.9,63.3,28.0,90.7,37.2,51.2,"10,901",18.3,13%,59 : 41,2016,ESP
164,University of Reading,United Kingdom,39.3,85.1,37.3,69.9,34.2,51.2,"12,050",14.8,28%,55 : 45,2016,GBR
167,University of Leicester,United Kingdom,32.1,86.6,27.8,86.0,31.7,51.1,"14,541",13.4,35%,54 : 46,2016,GBR
167,Technical University of Denmark,Denmark,37.3,85.1,29.9,77.8,50.0,51.1,"9,990",5.0,18%,27 : 73,2016,DNK
167,Université Catholique de Louvain,Belgium,38.7,74.2,40.6,68.4,51.0,51.1,"28,856",42.0,19%,54 : 46,2016,BEL
172,University of Aberdeen,United Kingdom,29.7,91.4,31.4,82.6,43.1,51.0,"12,938",15.8,33%,54 : 46,2016,GBR
174,University of Barcelona,Spain,38.5,49.2,37.4,78.9,31.1,50.9,"47,491",12.2,10%,62 : 38,2016,ESP
175,University of Konstanz,Germany,38.5,58.3,46.7,61.9,92.4,50.8,"10,930",59.1,12%,54 : 46,2016,DEU
176,Eindhoven University of Technology,Netherlands,34.3,71.3,41.0,70.7,57.3,50.6,"8,176",16.0,14%,19 : 81,2016,NLD
176,University College Dublin,Republic of Ireland,35.0,86.3,38.5,70.8,33.5,50.6,"22,193",24.5,23%,,2016,IRL
180,University of Gothenburg,Sweden,28.5,58.3,39.8,81.8,30.3,50.2,"26,420",16.4,12%,,2016,SWE
180,Scuola Superiore Sant’Anna,Italy,42.5,45.2,23.2,84.5,71.2,50.2,769,8.5,17%,35 : 65,2016,ITA
182,University of Bergen,Norway,32.5,70.0,31.5,82.4,36.2,50.1,"11,623",11.1,12%,60 : 40,2016,NOR
182,Cardiff University,United Kingdom,30.9,78.1,31.6,82.0,34.6,50.1,"23,347",13.1,23%,57 : 43,2016,GBR
185,University of Dundee,United Kingdom,25.6,78.5,26.9,90.2,49.5,49.9,"11,628",15.3,25%,60 : 40,2016,GBR
185,University of Würzburg,Germany,34.6,50.9,35.8,79.1,47.9,49.9,"26,576",38.4,8%,57 : 43,2016,DEU
188,Paris-Sud University,France,38.7,64.2,29.0,79.8,28.8,49.8,"27,603",15.0,17%,,2016,FRA
190,University of Antwerp,Belgium,31.6,64.8,40.8,71.7,60.3,49.6,"12,346",30.3,16%,56 : 44,2016,BEL
192,Ulm University,Germany,35.2,58.2,23.9,86.4,58.4,49.5,"9,187",11.2,10%,47 : 53,2016,DEU
193,University of Luxembourg,Luxembourg,25.0,99.8,26.7,84.8,38.1,49.4,"5,144",15.9,52%,50 : 50,2016,LUX
195,Charité - Universitätsmedizin Berlin,Germany,37.3,61.1,22.2,83.8,68.4,49.3,"6,853",6.6,16%,64 : 36,2016,DEU
196,Newcastle University,United Kingdom,30.9,84.3,27.5,81.5,34.7,49.2,"20,174",15.2,29%,50 : 50,2016,GBR
196,"St George’s, University of London",United Kingdom,25.6,69.5,18.1,100.0,37.7,49.2,"2,958",13.4,17%,61 : 39,2016,GBR
198,University of Trento,Italy,30.8,55.9,27.4,87.7,47.1,49.1,"16,841",43.2,8%,51 : 49,2016,ITA
199,Paris Diderot University – Paris 7,France,30.5,64.9,22.9,91.0,29.0,48.9,"27,756",14.8,17%,63 : 37,2016,FRA
200,Queen’s University Belfast,United Kingdom,34.1,93.4,33.3,68.9,35.7,48.8,"17,940",17.9,30%,54 : 46,2016,GBR
201-250,Aalborg University,Denmark,25.1,71.0,28.4,73.8,43.7,-,"17,422",15.9,15%,48 : 52,2016,DNK
201-250,"Birkbeck, University of London",United Kingdom,33.5,89.9,35.1,66.3,28.5,-,"9,454",17.2,38%,55 : 45,2016,GBR
201-250,University of Bologna,Italy,39.3,39.9,29.5,73.0,34.5,-,"85,532",22.9,7%,56 : 44,2016,ITA
201-250,Chalmers University of Technology,Sweden,36.6,77.6,35.3,52.2,79.5,-,"8,605",11.6,15%,30 : 70,2016,SWE
201-250,Copenhagen Business School,Denmark,19.3,88.5,26.5,79.4,35.3,-,"18,293",42.7,19%,48 : 52,2016,DNK
201-250,University of Duisburg-Essen,Germany,32.3,48.5,27.0,81.3,82.3,-,"36,051",46.6,11%,49 : 51,2016,DEU
201-250,École Normale Supérieure de Lyon,France,41.6,65.6,30.0,69.0,31.7,-,"2,218",8.0,14%,49 : 51,2016,FRA
201-250,University of Fribourg,Switzerland,32.3,87.4,32.9,64.1,60.8,-,"10,416",46.9,19%,58 : 42,2016,CHE
201-250,Goethe University Frankfurt,Germany,35.8,60.2,28.6,79.3,38.1,-,"31,861",9.3,15%,60 : 40,2016,DEU
201-250,Johannes Gutenberg University of Mainz,Germany,34.9,53.3,21.7,72.6,70.7,-,"35,609",32.6,10%,58 : 42,2016,DEU
201-250,Joseph Fourier University,France,34.2,58.6,21.6,83.2,31.6,-,"16,130",12.1,13%,,2016,FRA
201-250,University of Kiel,Germany,32.3,49.4,20.5,89.5,-,-,"24,444",23.8,8%,53 : 47,2016,DEU
201-250,Medical University of Vienna,Austria,26.6,81.7,14.6,89.1,33.9,-,"7,426",2.9,28%,50 : 50,2016,AUT
201-250,Paris Descartes University,France,24.6,49.1,28.8,83.3,29.0,-,"34,691",26.9,15%,63 : 37,2016,FRA
201-250,Polytechnic University of Milan,Italy,30.1,48.8,31.7,76.3,66.3,-,"30,025",22.2,12%,34 : 66,2016,ITA
201-250,Royal Veterinary College,United Kingdom,26.0,81.7,27.8,74.9,45.5,-,"1,819",10.9,18%,77 : 23,2016,GBR
201-250,Sapienza University of Rome,Italy,38.0,34.7,37.3,61.5,32.6,-,"120,986",32.3,7%,59 : 41,2016,ITA
201-250,University of Stuttgart,Germany,40.0,52.7,44.5,55.7,99.8,-,"24,099",45.4,20%,31 : 69,2016,DEU
201-250,Swedish University of Agricultural Sciences,Sweden,31.5,40.1,32.8,68.1,99.9,-,"3,879",4.6,,67 : 33,2016,SWE
201-250,Technical University of Darmstadt,Germany,37.1,54.4,43.2,51.1,99.1,-,"20,300",53.6,18%,28 : 72,2016,DEU
201-250,Tilburg University,Netherlands,34.1,71.6,47.1,51.5,57.4,-,"7,576",22.4,10%,49 : 51,2016,NLD
251-300,Aalto University,Finland,31.1,65.4,32.8,62.1,61.6,-,"16,099",24.2,17%,32 : 68,2016,FIN
251-300,Aix-Marseille University,France,36.7,63.0,22.1,64.9,33.1,-,"71,749",45.5,13%,61 : 39,2016,FRA
251-300,University of Bath,United Kingdom,28.9,84.8,27.9,56.7,36.3,-,"12,830",18.8,30%,46 : 54,2016,GBR
251-300,Bayreuth University,Germany,32.2,52.6,31.2,60.1,56.4,-,"12,520",35.5,8%,46 : 54,2016,DEU
251-300,Bielefeld University,Germany,35.2,45.4,46.2,49.9,60.9,-,"21,428",67.8,8%,57 : 43,2016,DEU
251-300,University of Bordeaux,France,25.3,54.6,22.0,71.7,30.6,-,"51,239",19.4,12%,58 : 42,2016,FRA
251-300,University of Iceland,Iceland,16.2,61.0,16.2,91.4,28.0,-,"13,960",25.9,8%,66 : 34,2016,ISL
251-300,Justus Liebig University Giessen,Germany,32.9,46.8,33.9,52.9,46.4,-,"25,682",53.9,9%,62 : 38,2016,DEU
251-300,University of Liège,Belgium,29.1,69.7,36.6,46.5,98.9,-,"20,951",25.9,23%,54 : 46,2016,BEL
251-300,Linköping University,Sweden,24.2,57.7,18.9,76.8,42.1,-,"17,866",7.7,10%,52 : 48,2016,SWE
251-300,"National University of Ireland, Galway",Republic of Ireland,27.3,76.5,25.4,68.5,41.9,-,"14,067",26.8,14%,56 : 44,2016,IRL
251-300,Royal College of Surgeons in Ireland,Republic of Ireland,29.9,90.1,20.1,65.3,33.9,-,"2,473",15.6,63%,55 : 45,2016,IRL
251-300,Ruhr University Bochum,Germany,32.8,51.7,30.0,54.4,66.6,-,"38,675",46.3,13%,48 : 52,2016,DEU
251-300,University of Surrey,United Kingdom,31.7,90.4,28.9,51.2,34.9,-,"12,063",16.6,38%,55 : 45,2016,GBR
251-300,Umeå University,Sweden,20.8,56.1,25.0,74.5,31.1,-,"16,667",11.9,7%,60 : 40,2016,SWE
251-300,Vienna University of Technology,Austria,34.1,77.3,32.0,54.6,86.5,-,"26,419",52.0,27%,27 : 73,2016,AUT
301-350,Aberystwyth University,United Kingdom,21.6,72.2,18.9,67.2,31.3,-,"9,252",19.2,18%,48 : 52,2016,GBR
301-350,Autonomous University of Madrid,Spain,35.6,48.6,30.9,46.9,33.0,-,"28,296",13.0,15%,56 : 44,2016,ESP
301-350,Bangor University,United Kingdom,22.6,81.3,22.1,65.4,31.0,-,"9,567",19.5,22%,55 : 45,2016,GBR
301-350,University of Bremen,Germany,30.9,50.0,32.7,50.0,46.0,-,"18,590",25.6,11%,50 : 50,2016,DEU
301-350,University of Essex,United Kingdom,33.9,93.7,33.3,38.6,28.9,-,"12,695",19.8,39%,55 : 45,2016,GBR
301-350,University of Greifswald,Germany,30.1,41.7,23.5,61.3,32.6,-,"10,931",24.0,6%,55 : 45,2016,DEU
301-350,University of Hohenheim,Germany,30.9,50.3,33.8,51.5,52.8,-,"9,163",41.2,13%,56 : 44,2016,DEU
301-350,University of Innsbruck,Austria,23.6,95.7,16.9,67.3,39.9,-,"18,209",16.9,39%,54 : 46,2016,AUT
301-350,University of Kent,United Kingdom,24.6,87.2,19.1,60.9,28.8,-,"17,638",14.4,27%,53 : 47,2016,GBR
301-350,Leibniz University of Hanover,Germany,36.5,43.2,36.9,39.0,69.6,-,"22,401",62.7,12%,41 : 59,2016,DEU
301-350,University of Milan,Italy,30.5,37.7,24.2,64.8,40.9,-,"58,618",24.3,5%,60 : 40,2016,ITA
301-350,University of Milan-Bicocca,Italy,24.3,34.3,25.5,65.8,46.6,-,"33,370",72.5,5%,60 : 40,2016,ITA
301-350,Montpellier University,France,38.7,54.4,16.7,59.5,31.9,-,"36,731",18.4,14%,51 : 49,2016,FRA
301-350,University of Naples Federico II,Italy,24.7,21.1,14.8,81.3,47.4,-,"83,653",64.2,1%,,2016,ITA
301-350,University of Navarra,Spain,31.9,52.6,20.8,57.5,63.5,-,"11,259",10.6,16%,52 : 48,2016,ESP
301-350,Örebro University,Sweden,18.3,39.4,10.4,87.8,29.8,-,"8,788",15.8,2%,61 : 39,2016,SWE
301-350,University of Padua,Italy,25.7,37.9,22.6,74.6,32.6,-,"62,577",18.3,4%,56 : 44,2016,ITA
301-350,University of Pavia,Italy,25.0,40.5,22.5,65.1,69.4,-,"22,958",40.6,6%,56 : 44,2016,ITA
301-350,Plymouth University,United Kingdom,19.3,64.0,18.0,75.2,28.5,-,"24,121",25.9,13%,52 : 48,2016,GBR
301-350,University of Southern Denmark,Denmark,19.2,71.8,14.7,79.7,28.0,-,"22,210",12.7,16%,52 : 48,2016,DNK
301-350,University of Strasbourg,France,25.5,71.6,23.4,64.4,32.8,-,"46,208",17.8,21%,58 : 42,2016,FRA
301-350,Technical University of Dortmund,Germany,34.2,40.8,29.8,55.3,48.6,-,"29,143",88.9,10%,47 : 53,2016,DEU
301-350,Toulouse 1 Capitole University,France,18.6,66.7,35.7,56.3,32.5,-,"19,011",43.8,19%,59 : 41,2016,FRA
301-350,University of Trieste,Italy,26.5,47.3,18.5,74.1,32.3,-,"18,135",25.8,9%,56 : 44,2016,ITA
301-350,University of Turin,Italy,27.4,38.8,22.3,67.5,54.2,-,"67,552",66.0,6%,62 : 38,2016,ITA
301-350,University of Turku,Finland,27.1,66.2,21.2,65.8,31.2,-,"12,326",14.6,5%,61 : 39,2016,FIN
301-350,Vrije Universiteit Brussel,Belgium,28.7,64.5,24.5,56.8,77.1,-,"9,020",17.1,16%,55 : 45,2016,BEL
301-350,VŠB - Technical University of Ostrava,Czech Republic,18.8,22.3,15.7,85.5,32.1,-,"14,991",23.9,5%,49 : 51,2016,CZE
351-400,University of Crete,Greece,18.6,47.0,19.2,73.6,34.5,-,"14,650",26.9,5%,63 : 37,2016,GRC
351-400,University of Cyprus,Cyprus,18.0,74.7,28.5,56.7,30.0,-,"6,880",22.9,8%,69 : 31,2016,CYP
351-400,University of Eastern Finland,Finland,24.8,46.1,20.7,65.1,33.3,-,"10,798",17.3,6%,64 : 36,2016,FIN
351-400,University of Florence,Italy,21.7,38.5,20.4,72.1,35.9,-,"54,290",17.2,7%,59 : 41,2016,ITA
351-400,University of St Gallen,Switzerland,25.8,97.6,11.2,53.5,41.8,-,"6,848",10.8,34%,32 : 68,2016,CHE
351-400,Graz University of Technology,Austria,26.0,69.3,15.8,52.9,77.2,-,"7,542",12.5,16%,22 : 78,2016,AUT
351-400,Instituto Superior Técnico Lisboa,Portugal,22.2,43.7,25.0,59.8,38.8,-,"11,778",16.9,9%,27 : 73,2016,PRT
351-400,University of Jyväskylä,Finland,28.2,47.1,25.5,55.5,34.2,-,"9,703",15.2,5%,62 : 38,2016,FIN
351-400,Loughborough University,United Kingdom,31.2,72.9,32.2,41.3,36.6,-,"13,951",15.9,22%,38 : 62,2016,GBR
351-400,University of Modena and Reggio Emilia,Italy,18.7,34.2,15.6,72.9,32.3,-,"19,693",25.3,6%,54 : 46,2016,ITA
351-400,"National University of Ireland, Maynooth",Republic of Ireland,24.6,75.6,22.8,50.2,36.6,-,"7,653",28.0,11%,55 : 45,2016,IRL
351-400,Norwegian University of Science and Technology,Norway,16.3,59.9,25.8,59.8,51.8,-,"17,381",13.9,9%,46 : 54,2016,NOR
351-400,University of Oulu,Finland,23.1,56.9,15.9,62.3,30.9,-,"14,056",8.5,6%,49 : 51,2016,FIN
351-400,Panthéon-Sorbonne University – Paris 1,France,53.2,47.6,47.6,6.8,28.3,-,"42,215",34.3,20%,59 : 41,2016,FRA
351-400,Polytechnic University of Turin,Italy,23.7,50.6,18.6,65.9,42.5,-,"27,709",19.6,16%,29 : 71,2016,ITA
351-400,University of Rome III,Italy,23.1,35.9,21.0,64.8,37.5,-,"36,353",61.2,5%,59 : 41,2016,ITA
351-400,University of Stirling,United Kingdom,22.6,77.7,23.5,59.1,30.4,-,"7,828",15.9,22%,61 : 39,2016,GBR
351-400,Swansea University,United Kingdom,22.2,72.4,23.8,58.2,32.7,-,"12,801",17.1,20%,49 : 51,2016,GBR
351-400,University of Tartu,Estonia,23.8,46.1,22.8,64.2,31.5,-,"10,269",13.0,3%,66 : 34,2016,EST
351-400,UiT The Arctic University of Norway,Norway,26.5,66.1,18.7,58.8,36.8,-,"10,398",12.2,10%,60 : 40,2016,NOR
351-400,Université Libre de Bruxelles,Belgium,26.1,84.5,28.3,47.9,39.1,-,"23,819",26.1,32%,54 : 46,2016,BEL
351-400,Lille 2 University – Health and Law,France,15.1,39.4,9.5,81.7,31.5,-,"26,894",38.5,8%,58 : 42,2016,FRA
351-400,University College Cork,Republic of Ireland,28.6,75.5,23.8,48.4,47.1,-,"15,805",22.3,15%,55 : 45,2016,IRL
351-400,Verona University,Italy,23.6,38.3,13.1,76.1,36.6,-,"25,250",19.7,7%,65 : 35,2016,ITA
401-500,University of Aveiro,Portugal,24.8,45.9,26.5,43.6,40.1,-,"10,791",17.8,10%,51 : 49,2016,PRT
401-500,University of Bari Aldo Moro,Italy,28.7,31.7,21.6,48.8,45.4,-,"51,560",65.1,2%,65 : 35,2016,ITA
401-500,Bournemouth University,United Kingdom,32.0,70.6,12.6,35.2,28.8,-,"14,907",25.9,18%,53 : 47,2016,GBR
401-500,University of Brescia,Italy,15.6,36.6,14.8,72.3,35.8,-,"14,076",25.0,7%,48 : 52,2016,ITA
401-500,Brno University of Technology,Czech Republic,18.0,35.8,14.7,55.8,33.7,-,"23,694",21.3,15%,27 : 73,2016,CZE
401-500,Brunel University London,United Kingdom,24.8,91.8,23.3,39.5,34.7,-,"12,613",17.6,38%,46 : 54,2016,GBR
401-500,Ca’ Foscari University of Venice,Italy,23.9,38.1,27.8,48.9,32.3,-,"19,267",38.3,7%,66 : 34,2016,ITA
401-500,University of Cagliari,Italy,19.4,32.6,13.2,56.8,33.6,-,"30,638",51.0,1%,62 : 38,2016,ITA
401-500,Catholic University of the Sacred Heart,Italy,18.6,39.0,11.3,55.4,38.7,-,"30,304",18.9,10%,,2016,ITA
401-500,Charles University in Prague,Czech Republic,31.5,52.8,21.5,41.0,28.2,-,"51,438",13.0,15%,62 : 38,2016,CZE
401-500,City University London,United Kingdom,23.5,89.6,21.2,43.5,28.9,-,"13,053",17.8,50%,55 : 45,2016,GBR
401-500,Claude Bernard University Lyon 1,France,21.3,50.5,13.2,66.5,34.5,-,"35,308",16.1,11%,50 : 50,2016,FRA
401-500,University of Coimbra,Portugal,28.3,46.2,26.5,42.4,34.8,-,"22,795",19.0,11%,55 : 45,2016,PRT
401-500,Complutense University of Madrid,Spain,33.2,39.1,27.6,31.2,30.9,-,"86,519",17.5,13%,62 : 38,2016,ESP
401-500,Dublin City University,Republic of Ireland,26.1,76.7,25.2,36.3,51.7,-,"8,546",22.9,17%,51 : 49,2016,IRL
401-500,University of Ferrara,Italy,17.7,41.8,17.2,63.3,35.9,-,"18,882",30.2,7%,56 : 44,2016,ITA
401-500,University of Genoa,Italy,27.2,38.8,14.2,59.3,42.3,-,"37,373",29.5,9%,56 : 44,2016,ITA
401-500,University of Graz,Austria,24.9,68.9,16.3,53.3,29.3,-,"20,584",26.8,12%,65 : 35,2016,AUT
401-500,Heriot-Watt University,United Kingdom,23.4,90.1,22.4,36.4,45.6,-,"8,773",17.8,43%,41 : 59,2016,GBR
401-500,University of Hull,United Kingdom,22.4,73.2,16.1,41.1,31.8,-,"15,141",18.7,20%,52 : 48,2016,GBR
